IP Address,BAD IP,Risk Score,Risk Level,Attack Count,First Seen,Last Seen,Targeted Agents,Attack Types,Country,Country Code,City,Latitude,Longitude,Geo Source,Is Malicious,Threat Score,Reputation Score,TI Sources,TI Confidence,VT Malicious,VT Suspicious,VT Categories,AbuseIPDB Score,Abuse Confidence,AbuseIPDB Reports,Total Reports,Is Whitelisted,ISP,Usage Type,SANS Score,SANS Count,SANS Attacks,SANS Malicious,SANS First Seen,SANS Last Seen,ML Anomaly,ML Score,ML Severity,ML Explanation,VAE Anomaly,VAE Score,Deep SVDD Anomaly,Deep SVDD Score,Advanced ML Anomaly,Advanced ML Severity,Is Tor,Is VPN,Is Cloud,Organization,MITRE Tactics,MITRE Techniques,MITRE URLs
64.226.139.132,NO,75.0,HIGH,91,2026-01-29 11:50:27,2026-02-05 10:29:41,"011|HRC-RCM-Supported-Server-QA|10.3.1.204, 003|HRC-CDM-Application-Server-Prod|10.18.5.178","AttackType.UNKNOWN, AttackType.SSRF",US,US,Unknown,,,AbuseIPDB,No,0,,AbuseIPDB,50,0,0,,0,0,0,0,No,Perimeter 81 LLC,Data Center/Web Hosting/Transit,0,0,0,No,,,No,0.2,low,"TI validation: No AbuseIPDB reports, insufficient TI evidence",No,13.4128,No,5.664,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.1.2.231,N/A,73.0,HIGH,540,2026-01-29 11:42:15,2026-02-05 10:16:51,043|HRC-Tableau-DB-004|10.1.2.231,"AttackType.UNKNOWN, AttackType.SQL_INJECTION",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,681.0916,No,4.511,No,low,No,No,No,Unknown,"Credential Access, Execution, Initial Access","T1059: Command and Scripting Interpreter, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1059/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.18.5.178,N/A,73.0,HIGH,2171,2026-01-29 10:59:48,2026-02-05 10:27:05,003|HRC-CDM-Application-Server-Prod|10.18.5.178,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,16005.6172,No,6.1868,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.2.2.216,N/A,73.0,HIGH,75,2026-02-01 00:53:22,2026-02-05 07:46:19,034|HRC-AMD-Kollect-Mediator-PROD|10.2.1.162,"AttackType.UNKNOWN, AttackType.RECONNAISSANCE",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,33.6321,No,2.3547,No,low,No,No,No,Unknown,"Credential Access, Discovery","T1018: Remote System Discovery, T1046: Network Service Discovery, T1083: File and Directory Discovery, T1110: Brute Force",https://attack.mitre.org/techniques/T1018/ | https://attack.mitre.org/techniques/T1046/ | https://attack.mitre.org/techniques/T1083/ | https://attack.mitre.org/techniques/T1110/
10.11.0.20,N/A,73.0,HIGH,11385,2026-01-29 14:32:42,2026-02-05 07:36:35,004|HRC-CIP-Application-Server-QA|10.11.0.20,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.7333,high,CRITICAL: Triggered Wazuh alert level 11. Known attack pattern detected.,Yes,3127886.75,Yes,324.0045,Yes,critical,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.3.1.9,N/A,73.0,HIGH,926,2026-01-29 16:16:35,2026-02-05 07:15:59,012|HRC-RCM-QA-Automation-Server|10.3.1.9,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,2778.7412,No,2.349,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.2.1.209,N/A,73.0,HIGH,2160,2026-01-29 10:59:02,2026-02-05 06:53:16,029|HRC-Kollect-Jenkins-Agent|10.2.1.209,"AttackType.UNKNOWN, AttackType.RECONNAISSANCE",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.7333,high,CRITICAL: Triggered Wazuh alert level 11. Known attack pattern detected.,No,11764.5381,No,4.3102,No,low,No,No,No,Unknown,"Credential Access, Discovery","T1018: Remote System Discovery, T1046: Network Service Discovery, T1083: File and Directory Discovery, T1110: Brute Force",https://attack.mitre.org/techniques/T1018/ | https://attack.mitre.org/techniques/T1046/ | https://attack.mitre.org/techniques/T1083/ | https://attack.mitre.org/techniques/T1110/
10.27.0.97,N/A,73.0,HIGH,959,2026-01-29 14:31:46,2026-02-05 06:34:50,030|HRC-Credentialing-Server-DEV|10.27.0.97,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,3401.9951,No,0.8126,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.19.0.141,N/A,73.0,HIGH,1149,2026-01-29 14:32:06,2026-02-05 06:34:34,024|HRC-CSE-Staging-EKS-Server|10.19.0.141,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,4816.9321,No,1.1982,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.20.0.217,N/A,73.0,HIGH,1896,2026-01-29 14:32:04,2026-02-05 06:31:09,020|OneHRC-DEV-EKS-Server|10.20.0.217,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.7333,high,CRITICAL: Triggered Wazuh alert level 11. Known attack pattern detected.,No,12502.5527,No,6.8766,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.7.0.106,N/A,73.0,HIGH,2114,2026-01-29 11:35:44,2026-02-05 06:15:12,022|HRC-CSE-DEV-EKS-Server|10.7.0.106,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,15422.293,No,6.465,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.12.0.240,N/A,73.0,HIGH,2229,2026-01-29 10:43:59,2026-02-05 06:17:38,016|HRC-RCM-Supported-Server-PROD|10.12.0.240,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,6918.2778,No,1.7212,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.3.1.144,N/A,73.0,HIGH,1445,2026-01-29 14:33:10,2026-02-05 02:41:46,010|HRC-RCM-Application-Server-QA|10.3.1.144,"AttackType.UNKNOWN, AttackType.SSRF",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,8195.1318,No,4.933,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
10.2.2.145,N/A,73.0,HIGH,166,2026-01-29 16:20:35,2026-01-31 16:49:19,034|HRC-AMD-Kollect-Mediator-PROD|10.2.1.162,"AttackType.UNKNOWN, AttackType.EXPLOIT",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,165.9886,No,1.136,No,low,No,No,No,Unknown,"Credential Access, Execution, Initial Access, Privilege Escalation","T1068: Exploitation for Privilege Escalation, T1110: Brute Force, T1190: Exploit Public-Facing Application, T1203: Exploitation for Client Execution",https://attack.mitre.org/techniques/T1068/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/ | https://attack.mitre.org/techniques/T1203/
119.235.4.18,NO,73.0,HIGH,19,2026-01-29 20:44:08,2026-02-05 10:10:36,003|HRC-CDM-Application-Server-Prod|10.18.5.178,"AttackType.UNKNOWN, AttackType.SSRF",LK,LK,Unknown,,,AbuseIPDB,No,0,,AbuseIPDB,50,0,0,,0,0,0,0,No,Sri Lanka Telecom Ltd,Fixed Line ISP,0,0,0,No,,,No,0.2,low,"TI validation: No AbuseIPDB reports, insufficient TI evidence",No,6.8991,No,7.9658,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Initial Access","T1071: Application Layer Protocol, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1190/
172.235.26.199,NO,73.0,HIGH,10,2026-01-29 18:12:05,2026-02-04 14:58:29,"011|HRC-RCM-Supported-Server-QA|10.3.1.204, 008|HRC-Bastion-Server-DEV|172.16.0.100, 040|HRC-BI-SSIS-Server|172.31.78.62","AttackType.UNKNOWN, AttackType.SSRF, AttackType.BRUTE_FORCE, AttackType.EXPLOIT",IN,IN,Unknown,,,AbuseIPDB,No,0,,AbuseIPDB,50,0,0,,0,0,0,0,No,Linode,Data Center/Web Hosting/Transit,0,0,0,No,,,No,0.2,low,"TI validation: No AbuseIPDB reports, insufficient TI evidence",No,3.7671,No,6.0222,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Execution, Initial Access, Privilege Escalation","T1068: Exploitation for Privilege Escalation, T1071: Application Layer Protocol, T1110.001: Password Guessing, T1110: Brute Force, T1190: Exploit Public-Facing Application, T1203: Exploitation for Client Execution",https://attack.mitre.org/techniques/T1068/ | https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1110/ | https://attack.mitre.org/techniques/T1110/001/ | https://attack.mitre.org/techniques/T1190/
10.2.1.23,N/A,71.0,HIGH,1159,2026-01-29 19:26:13,2026-02-05 10:33:53,033|HRC-AMD-Kollect-Mediator|10.2.1.23,"AttackType.SSRF, AttackType.UNKNOWN, AttackType.RECONNAISSANCE",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.4667,medium,SUSPICIOUS: Triggered Wazuh alert level 7. Potential attack pattern.,No,3721.5022,No,1.6602,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Discovery, Initial Access","T1018: Remote System Discovery, T1046: Network Service Discovery, T1071: Application Layer Protocol, T1083: File and Directory Discovery, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1018/ | https://attack.mitre.org/techniques/T1046/ | https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1083/ | https://attack.mitre.org/techniques/T1110/
10.30.0.158,N/A,71.0,HIGH,1158,2026-01-29 20:02:07,2026-02-05 07:00:41,045|HRC-HL7-Mirth-Sound-Server-PROD|10.30.0.158,"AttackType.SSRF, AttackType.UNKNOWN, AttackType.RECONNAISSANCE",Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.4667,medium,SUSPICIOUS: Triggered Wazuh alert level 7. Potential attack pattern.,No,3628.7166,No,1.7131,No,low,No,No,No,Unknown,"Command And Control, Credential Access, Discovery, Initial Access","T1018: Remote System Discovery, T1046: Network Service Discovery, T1071: Application Layer Protocol, T1083: File and Directory Discovery, T1110: Brute Force, T1190: Exploit Public-Facing Application",https://attack.mitre.org/techniques/T1018/ | https://attack.mitre.org/techniques/T1046/ | https://attack.mitre.org/techniques/T1071/ | https://attack.mitre.org/techniques/T1083/ | https://attack.mitre.org/techniques/T1110/
172.31.78.62,N/A,70.0,HIGH,3280,2026-01-29 10:37:42,2026-02-05 10:37:26,040|HRC-BI-SSIS-Server|172.31.78.62,AttackType.UNKNOWN,Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,12691.0684,No,4.3549,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
10.10.0.149,N/A,70.0,HIGH,983,2026-01-29 17:17:48,2026-02-05 09:53:48,023|HRC-Jenkins-Master|10.10.0.149,AttackType.UNKNOWN,Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,3106.6833,No,1.8777,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
10.3.1.204,N/A,70.0,HIGH,1131,2026-01-29 18:51:48,2026-02-05 09:28:24,011|HRC-RCM-Supported-Server-QA|10.3.1.204,AttackType.UNKNOWN,Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,4267.1104,No,0.7435,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
10.13.0.123,N/A,70.0,HIGH,2052,2026-01-29 12:20:10,2026-02-05 07:00:21,001|HRC-CDM-Jenkins-Agent-Server|10.13.0.123,AttackType.UNKNOWN,Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,14856.2832,No,6.9801,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
10.3.1.148,N/A,70.0,HIGH,1211,2026-01-29 14:12:27,2026-02-05 06:47:53,013|HRC-RCM-Jenkins-Agent|10.3.1.148,AttackType.UNKNOWN,Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,4977.397,No,0.7935,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
172.31.66.65,N/A,70.0,HIGH,1796,2026-01-29 15:01:34,2026-02-05 06:40:23,018|Photons-Developement-HRC-Home-BK|172.31.66.65,AttackType.UNKNOWN,Unknown,N/A,Unknown,,,GeoIP,No,0,N/A,ML_Only,0,0,0,,0,0,0,0,No,Unknown,Unknown,0,0,0,No,,,Yes,0.6667,high,CRITICAL: Triggered Wazuh alert level 10. Known attack pattern detected.,No,8702.7725,No,1.3539,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
104.207.135.19,NO,70.0,HIGH,81,2026-01-29 10:52:25,2026-02-05 10:22:33,003|HRC-CDM-Application-Server-Prod|10.18.5.178,AttackType.UNKNOWN,US,US,Unknown,,,AbuseIPDB,No,0,,AbuseIPDB,50,0,0,,0,0,0,0,No,"Vultr Holdings, LLC",Data Center/Web Hosting/Transit,0,0,0,No,,,No,0.2,low,"TI validation: No AbuseIPDB reports, insufficient TI evidence",No,33.6943,No,8.1447,No,low,No,No,No,Unknown,Credential Access,T1110: Brute Force,https://attack.mitre.org/techniques/T1110/
